[H[2J[3JDate,Location,N,Diversity,Divergence
20200519,Luxembourg,3,0.00017460066666666666,0.00034932433333333335
20200519,Democratic Republic of the Congo,8,0.00028382833333333334,0.00042573987500000004
20200519,Nigeria,2,0.000262727,0.00039339999999999997
20200519,South Africa,7,8.733033333333333e-05,0.00037432257142857146
20200519,Argentina,2,0.0,0.000262
20200519,Ecuador,2,0.0,0.000262
20200519,Uruguay,6,0.0,0.00048031083333333334
20200519,Turkey,8,6.547525e-05,0.000491226375
20200519,Bangladesh,23,8.732309090909091e-05,0.00031899269565217387
20200526,World,1414,0.00031136882621474605,0.00038841287411598015
20200526,United Kingdom,419,0.0004072230167908926,0.00046840623389021637
20200526,Germany,2,0.0,0.000262
20200526,India,181,0.0003857278941477462,0.0003851585469613257
20200526,USA,484,0.0001710778103503085,0.0003258868119834719
20200526,Netherlands,2,0.0,0.000262
20200526,Russia,9,0.00014290418181818183,0.0003784404444444445
20200526,Spain,8,0.00017463506666666668,0.00032749550000000003
20200526,Australia,7,0.0007864729999999999,0.0006366610000000001
20200526,Ukraine,17,8.982548571428565e-05,0.0004469348235294117
20200526,Singapore,12,0.000371283,0.0003931305
20200526,Romania,5,0.00034941633333333334,0.0003667964
20200526,South Korea,88,4.366178431372537e-05,0.00028879747727272664
20200526,Malaysia,3,0.0005242,0.0005241233333333333
20200526,Sweden,29,0.00034800672413793087,0.00046089717241379314
20200526,Saudi Arabia,19,0.000434537219512195,0.00037232752631578944
20200526,Oman,14,6.547525e-05,0.0002807123571428572
20200526,Switzerland,5,0.00019647525000000002,0.00026199460000000003
20200526,Brazil,7,0.0003143304,0.0004117014285714286
20200526,Mexico,2,0.0,0.000523982
20200526,Senegal,2,0.000261991,0.0003929955
20200526,Portugal,6,0.0003143447,0.0003930041666666666
20200526,Poland,19,0.00037548362573099466,0.000496498105263158
20200526,South Africa,30,0.00028284173267326693,0.0004192078333333333
20200526,Turkey,2,0.0,0.000523973
20200526,Bangladesh,33,0.00024463774698795193,0.00040493566666666673
20200602,World,1282,0.00028535709388051705,0.00037954017940717395
20200602,United Kingdom,300,0.0004149265941295509,0.00047166153666666663
20200602,Germany,4,0.0,0.000262
20200602,India,180,0.00031804714208047094,0.0004483299222222209
20200602,USA,502,0.00015876687843837018,0.00031002582270916394
20200602,Russia,4,0.0001746666666666667,0.000327576
20200602,Spain,9,0.0,0.000262
20200602,Australia,11,0.0005896825,0.0005003075454545454
20200602,Singapore,19,0.0002526870714285714,0.0005104997368421052
20200602,Romania,12,9.527109090909091e-05,0.00030569125000000006
20200602,South Korea,66,4.1005313043478256e-05,0.00028185227272727265
20200602,France,2,0.000261991,0.000655129
20200602,Sweden,14,0.0004061938500000001,0.0004678724285714286
20200602,Saudi Arabia,2,0.000261991,0.0001309955
20200602,Oman,5,0.0,0.0003668534000000001
20200602,Switzerland,10,0.000163730125,0.00036679280000000006
20200602,Senegal,9,8.733033333333334e-05,0.00029111011111111117
20200602,Portugal,12,0.00022457342857142858,0.00041485266666666665
20200602,Poland,3,0.000261991,0.00034933033333333334
20200602,Latvia,2,0.0,0.000262
20200602,Pakistan,5,0.00047161799999999993,0.00041915500000000005
20200602,South Africa,24,0.00022752855263157888,0.00042574729166666665
20200602,Turkey,2,0.0,0.00039298649999999996
20200602,Egypt,54,0.00021037689308176058,0.0003639023703703703
20200602,Bangladesh,26,0.00020514261842105252,0.0003627968076923077
20200609,World,1127,0.0004107314661709514,0.0004450101606033704
20200609,China,2,0.0,0.000262
20200609,United Kingdom,251,0.0005191432018659834,0.0005251166733067718
20200609,Germany,4,0.0,0.000262
20200609,India,249,0.00043374428432630893,0.0004861516746987942
20200609,USA,339,0.00023910830704400567,0.00037254666961651856
20200609,Spain,5,0.0,0.0003143982
20200609,Australia,37,0.0005596057752808987,0.0006235250000000003
20200609,Singapore,13,0.0005681440000000001,0.000584748
20200609,Romania,9,0.00020375433333333332,0.00040755833333333335
20200609,South Korea,33,8.81003793103448e-05,0.00036521721212121207
20200609,France,8,0.00011240414285714285,0.0006552069999999999
20200609,Sweden,12,0.0004406562272727272,0.0005458866666666665
20200609,Saudi Arabia,42,0.0003906025714285716,0.00034935573809523796
20200609,Oman,7,0.0,0.000262
20200609,Switzerland,10,0.00011905409090909089,0.00044538289999999995
20200609,Senegal,39,0.00023559060504201674,0.0003963831282051282
20200609,Portugal,7,8.733033333333333e-05,0.00029942728571428573
20200609,Poland,2,0.000523958,0.000524015
20200609,South Africa,37,0.00020519600699300691,0.00038239016216216215
20200609,Costa Rica,3,0.0,0.00034933033333333334
20200609,Bangladesh,16,0.00019874496551724135,0.00036026806250000004
20200616,World,1126,0.0004074464682314793,0.00044214596536411977
20200616,United Kingdom,176,0.0004981520231281839,0.0005047159147727265
20200616,Germany,6,0.0,0.000262
20200616,India,209,0.00045364539740518474,0.0004939837799043057
20200616,USA,435,0.00030956964117316376,0.00039995639080459905
20200616,Spain,11,0.00011654955555555556,0.0005956172727272728
20200616,Australia,28,0.000719063923809524,0.0005897775714285715
20200616,Singapore,16,0.00028876228571428564,0.0003603363125
20200616,South Korea,53,0.00011016780973451314,0.00034111783018867913
20200616,Belgium,3,0.0005241993333333333,0.0005241233333333333
20200616,Saudi Arabia,20,0.00031870866666666644,0.00020961645
20200616,Switzerland,8,0.000261972,0.00042573987500000004
20200616,Norway,2,0.000261901,0.00039298649999999996
20200616,Senegal,10,0.00016377999999999998,0.00041921430000000005
20200616,Portugal,2,0.0,0.000523991
20200616,Latvia,4,0.0,0.000262
20200616,South Africa,74,0.0001401881734527685,0.0005169381756756758
20200616,Costa Rica,9,0.000262126,0.00043668833333333334
20200616,Bahrain,2,0.000261991,0.0003929955
20200616,Ecuador,2,0.0,0.000262
20200616,Bangladesh,53,0.00026404402303263006,0.0004251737735849054
20200623,World,659,0.00034481420957374576,0.0004095465235204894
20200623,United Kingdom,132,0.00018325293213684854,0.00038112302272727197
20200623,India,19,0.0005109759333333336,0.0006619940526315788
20200623,USA,282,0.0002452259445843772,0.00038096175886524736
20200623,Spain,12,0.00026228358333333333,0.0008736946666666667
20200623,Ukraine,12,0.0001746294814814815,0.00032749475000000004
20200623,Singapore,18,0.00032582440540540543,0.00046602022222222227
20200623,South Korea,38,6.664670175438594e-05,0.0002964821315789474
20200623,Belgium,3,0.000261991,0.000524086
20200623,Saudi Arabia,25,0.0003371799433333329,0.00022012423999999994
20200623,Switzerland,34,0.00040414955084745757,0.0004623575
20200623,Norway,33,0.000360694493506494,0.0006431018484848486
20200623,South Africa,21,0.0003773007800000001,0.00047416304761904753
20200623,Bahrain,6,0.0002619625,0.00034937950000000004
20200623,Bangladesh,10,0.0005241105,0.0005503287000000001
20200623,North Macedonia,12,2.495152380952381e-05,0.0002838325833333334
20200630,World,508,0.00042583692359145735,0.0004575340039370102
20200630,United Kingdom,59,0.0005525247949640295,0.0006307218644067798
20200630,India,8,0.000261979,0.0005568015
20200630,USA,164,0.0003940174193548424,0.0004585510609756089
20200630,Australia,12,0.00029626047826086956,0.0006117823333333332
20200630,Italy,5,0.0003494346666666666,0.00041931980000000003
20200630,Singapore,17,0.0003618354761904761,0.0004933481764705883
20200630,South Korea,42,2.7871382978723395e-05,0.0002807136428571429
20200630,Belgium,5,0.0,0.0006813566
20200630,Panama,2,0.0,0.0
20200630,Switzerland,45,0.0002531465561797755,0.000413374911111111
20200630,Norway,16,0.0005349132083333333,0.0005731175625
20200630,Latvia,3,0.0,0.000262
20200630,Ireland,10,0.00017474955555555556,0.00047175580000000003
20200630,South Africa,75,0.00031416799314128846,0.00042971684
20200630,Costa Rica,5,0.00010479639999999999,0.00031439820000000004
20200630,Ecuador,16,0.0,0.000262
20200630,Bangladesh,23,0.0004289279565217392,0.00047852921739130434
20200707,World,534,0.0004025596211928829,0.0004676676460674175
20200707,United Kingdom,39,0.00041276300000000034,0.0005374973333333334
20200707,India,6,0.0001746526666666667,0.000523976
20200707,USA,156,0.0003151132733619761,0.00043672071794871755
20200707,Spain,3,0.000262197,0.0006989786666666667
20200707,Australia,36,0.0003139849791666666,0.0008958049999999993
20200707,Ukraine,3,0.000261901,0.0006116009999999999
20200707,Singapore,21,0.00046089520689655177,0.000499249857142857
20200707,South Korea,18,0.00013100436363636364,0.00032021922222222224
20200707,Switzerland,68,0.00020769436220472497,0.0003891591029411762
20200707,Norway,10,7.482885714285713e-05,0.0004716105
20200707,Latvia,21,0.0001823421521739131,0.00036186171428571434
20200707,Ireland,11,6.323951724137932e-05,0.0004049033636363636
20200707,South Africa,117,0.0003039874227738402,0.00043447588888888847
20200707,Indonesia,2,0.0,0.000523982
20200707,Bangladesh,20,0.00030923666187050383,0.00043236725000000005
20200714,World,412,0.0005040042259652691,0.0005044044975728171
20200714,United Kingdom,34,0.00025575278571428583,0.0004777651764705884
20200714,USA,88,0.00038739354556804043,0.00045856862499999963
20200714,Israel,21,0.0005622867558139531,0.0005240945714285715
20200714,Australia,30,0.0001061813783783784,0.0010751257333333328
20200714,Singapore,22,0.0006117756444444446,0.000452632909090909
20200714,Hong Kong,2,0.0,0.000523982
20200714,Switzerland,58,0.0002376605032051287,0.0003884988275862067
20200714,Brazil,7,0.0,0.000262
20200714,Latvia,8,0.00017475566666666668,0.00036032137500000005
20200714,South Africa,98,0.00042661755185537846,0.0004919816836734692
20200714,Serbia,3,0.000523991,0.0005240893333333333
20200714,Bangladesh,38,0.00039306738311688304,0.0004827035789473683
20200721,World,240,0.0006292709051110208,0.0006104577041666666
20200721,China,4,0.0,0.000262
20200721,United Kingdom,29,0.0004016553225806452,0.0005692425172413794
20200721,India,4,0.0010921829999999998,0.00111402675
20200721,USA,19,0.0003818586666666666,0.0005240733684210525
20200721,Israel,6,0.0003929361666666667,0.0005677725
20200721,Australia,41,0.00015986152205882333,0.0011192485853658532
20200721,Singapore,10,0.00026207275,0.0006027306999999998
20200721,Switzerland,75,0.00025274511401425227,0.00039826098666666634
20200721,Latvia,5,0.0,0.00036685900000000003
20200721,Ireland,7,0.0006908235454545455,0.0006363499999999999
20200721,South Africa,8,0.0003668396,0.00045848875000000004
20200721,Bangladesh,31,0.000690376605633802,0.0006170629677419356
20200728,World,111,0.0006411675588235323,0.0006895641441441439
20200728,United Kingdom,45,0.0002883896180904527,0.000524045977777778
20200728,Australia,36,0.00019224565137614675,0.001121753
20200728,Singapore,2,0.0,0.0005240105
20200728,Switzerland,25,0.00031752033050847476,0.00040873904
20200728,Bangladesh,3,0.00034923666666666664,0.00043664866666666657
20200804,World,45,0.00026495800671141016,0.0004949406888888889
20200804,United Kingdom,34,0.00012815041484716156,0.0005317528235294117
20200804,Australia,3,0.0008736683333333333,0.0006989776666666667
20200804,Saudi Arabia,8,0.0002245598571428571,0.00026197525000000004
